address,status,device,virtual_machine,interface,dns_name,description
10.100.10.11/24,active,EMEA-DC-ONPREM-ESX-A01,,iDRAC,emea-esx-a01-idrac.lab.local,EMEA ESX-A01 iDRAC
10.100.10.12/24,active,EMEA-DC-ONPREM-ESX-A02,,iDRAC,emea-esx-a02-idrac.lab.local,EMEA ESX-A02 iDRAC
10.100.10.13/24,active,EMEA-DC-ONPREM-ESX-A03,,iDRAC,emea-esx-a03-idrac.lab.local,EMEA ESX-A03 iDRAC
10.100.10.14/24,active,EMEA-DC-ONPREM-ESX-A04,,iDRAC,emea-esx-a04-idrac.lab.local,EMEA ESX-A04 iDRAC
10.100.10.15/24,active,EMEA-DC-ONPREM-ESX-A05,,iLO,emea-esx-a05-ilo.lab.local,EMEA ESX-A05 iLO
10.100.10.16/24,active,EMEA-DC-ONPREM-ESX-A06,,iLO,emea-esx-a06-ilo.lab.local,EMEA ESX-A06 iLO
10.100.10.17/24,active,EMEA-DC-ONPREM-ESX-B01,,iDRAC,emea-esx-b01-idrac.lab.local,EMEA ESX-B01 iDRAC
10.100.10.18/24,active,EMEA-DC-ONPREM-ESX-B02,,iDRAC,emea-esx-b02-idrac.lab.local,EMEA ESX-B02 iDRAC
10.100.10.19/24,active,EMEA-DC-ONPREM-ESX-B03,,iDRAC,emea-esx-b03-idrac.lab.local,EMEA ESX-B03 iDRAC
10.100.10.20/24,active,EMEA-DC-ONPREM-ESX-B04,,iDRAC,emea-esx-b04-idrac.lab.local,EMEA ESX-B04 iDRAC
10.100.10.21/24,active,EMEA-DC-ONPREM-ESX-MGT01,,CIMC,emea-esx-mgt01-cimc.lab.local,EMEA ESX-MGT01 CIMC
10.100.10.22/24,active,EMEA-DC-ONPREM-ESX-MGT02,,CIMC,emea-esx-mgt02-cimc.lab.local,EMEA ESX-MGT02 CIMC
10.100.10.23/24,active,EMEA-DC-ONPREM-ESX-MGT03,,CIMC,emea-esx-mgt03-cimc.lab.local,EMEA ESX-MGT03 CIMC
10.100.50.10/24,active,,EMEA-vCenter-01,eth0,emea-vcenter-01.lab.local,EMEA vCenter Server
10.100.50.11/24,active,,EMEA-NSX-Manager-01,eth0,emea-nsx-mgr-01.lab.local,EMEA NSX Manager 01
10.100.50.12/24,active,,EMEA-NSX-Manager-02,eth0,emea-nsx-mgr-02.lab.local,EMEA NSX Manager 02
10.100.50.13/24,active,,EMEA-NSX-Manager-03,eth0,emea-nsx-mgr-03.lab.local,EMEA NSX Manager 03
10.100.50.20/24,active,,EMEA-vROps-01,eth0,emea-vrops-01.lab.local,EMEA vRealize Operations
10.100.50.21/24,active,,EMEA-vRLI-01,eth0,emea-vrli-01.lab.local,EMEA vRealize Log Insight
10.100.50.30/24,active,,EMEA-Backup-Server-01,eth0,emea-backup-01.lab.local,EMEA Backup Server Management
10.100.70.30/24,active,,EMEA-Backup-Server-01,eth1,,EMEA Backup Server Data Network
10.100.50.40/24,active,,EMEA-Jump-Host-01,eth0,emea-jumphost-01.lab.local,EMEA Jump Host
10.100.50.50/24,active,,EMEA-Ansible-Tower-01,eth0,emea-ansible-01.lab.local,EMEA Ansible Tower
