virtual_machine,name,size,description
EMEA-vCenter-01,vCenter-OS-Data,512000,vCenter OS and data disk
EMEA-NSX-Manager-01,NSX-OS-Data,307200,NSX Manager OS and data disk
EMEA-NSX-Manager-02,NSX-OS-Data,307200,NSX Manager OS and data disk
EMEA-NSX-Manager-03,NSX-OS-Data,307200,NSX Manager OS and data disk
EMEA-vROps-01,vROps-OS-Data,512000,vROps OS and data disk
EMEA-vRLI-01,vRLI-OS-Data,512000,vRLI OS and data disk
EMEA-Backup-Server-01,OS-Disk,102400,Operating system disk
EMEA-Backup-Server-01,Backup-Data,921600,Backup storage volume
EMEA-Jump-Host-01,OS-Disk,102400,Operating system disk
EMEA-Ansible-Tower-01,OS-Disk,102400,Operating system disk
EMEA-Ansible-Tower-01,Ansible-Data,102400,Ansible projects and inventory
EMEA-Web-App-01,OS-Disk,102400,Operating system and web content
EMEA-Web-App-02,OS-Disk,102400,Operating system and web content
EMEA-Web-App-03,OS-Disk,102400,Operating system and web content
EMEA-App-Server-01,OS-Disk,102400,Operating system disk
EMEA-App-Server-01,App-Data,102400,Application binaries and data
EMEA-App-Server-02,OS-Disk,102400,Operating system disk
EMEA-App-Server-02,App-Data,102400,Application binaries and data
EMEA-App-Server-03,OS-Disk,102400,Operating system disk
EMEA-App-Server-03,App-Data,102400,Application binaries and data
EMEA-DB-Server-01,OS-Disk,102400,Operating system disk
EMEA-DB-Server-01,DB-Data,921600,Database data files and logs
EMEA-DB-Server-02,OS-Disk,102400,Operating system disk
EMEA-DB-Server-02,DB-Data,921600,Database data files and logs
EMEA-Redis-01,OS-Data,102400,Redis OS and data
EMEA-Redis-02,OS-Data,102400,Redis OS and data
EMEA-Kafka-01,OS-Disk,102400,Operating system disk
EMEA-Kafka-01,Kafka-Data,409600,Kafka logs and topics
EMEA-Kafka-02,OS-Disk,102400,Operating system disk
EMEA-Kafka-02,Kafka-Data,409600,Kafka logs and topics
EMEA-ELK-ES-01,OS-Disk,102400,Operating system disk
EMEA-ELK-ES-01,ES-Data,921600,Elasticsearch indices and data
EMEA-ELK-ES-02,OS-Disk,102400,Operating system disk
EMEA-ELK-ES-02,ES-Data,921600,Elasticsearch indices and data
EMEA-Docker-Host-01,OS-Disk,102400,Operating system disk
EMEA-Docker-Host-01,Docker-Data,409600,Docker images and volumes
EMEA-Docker-Host-02,OS-Disk,102400,Operating system disk
EMEA-Docker-Host-02,Docker-Data,409600,Docker images and volumes
EMEA-vSAN-Witness,Witness-Disk,10240,vSAN witness cache disk
EMEA-File-Server-01,OS-Disk,102400,Operating system disk
EMEA-File-Server-01,File-Storage,5017600,File server storage volume
EMEA-NFS-Server-01,OS-Disk,102400,Operating system disk
EMEA-NFS-Server-01,NFS-Storage,5017600,NFS export storage volume
APAC-vCenter-01,vCenter-OS-Data,512000,vCenter OS and data disk
APAC-NSX-Manager-01,NSX-OS-Data,307200,NSX Manager OS and data disk
APAC-NSX-Manager-02,NSX-OS-Data,307200,NSX Manager OS and data disk
APAC-NSX-Manager-03,NSX-OS-Data,307200,NSX Manager OS and data disk
APAC-vROps-01,vROps-OS-Data,512000,vROps OS and data disk
APAC-vRLI-01,vRLI-OS-Data,512000,vRLI OS and data disk
APAC-Backup-Server-01,OS-Disk,102400,Operating system disk
APAC-Backup-Server-01,Backup-Data,921600,Backup storage volume
APAC-Jump-Host-01,OS-Disk,102400,Operating system disk
APAC-Ansible-Tower-01,OS-Disk,102400,Operating system disk
APAC-Ansible-Tower-01,Ansible-Data,102400,Ansible projects and inventory
APAC-Web-App-01,OS-Disk,102400,Operating system and web content
APAC-Web-App-02,OS-Disk,102400,Operating system and web content
APAC-Web-App-03,OS-Disk,102400,Operating system and web content
APAC-App-Server-01,OS-Disk,102400,Operating system disk
APAC-App-Server-01,App-Data,102400,Application binaries and data
APAC-App-Server-02,OS-Disk,102400,Operating system disk
APAC-App-Server-02,App-Data,102400,Application binaries and data
APAC-App-Server-03,OS-Disk,102400,Operating system disk
APAC-App-Server-03,App-Data,102400,Application binaries and data
APAC-DB-Server-01,OS-Disk,102400,Operating system disk
APAC-DB-Server-01,DB-Data,921600,Database data files and logs
APAC-DB-Server-02,OS-Disk,102400,Operating system disk
