vid,name,site,status,description,tenant
10,VLAN10-OOB-MGMT,EMEA-DC-ONPREM,active,Out-of-Band Management Network - iDRAC/iLO/CIMC interfaces,
20,VLAN20-ESXi-MGMT,EMEA-DC-ONPREM,active,ESXi Management Network - vmk0 interfaces,
30,VLAN30-vMotion,EMEA-DC-ONPREM,active,vMotion Network - vmk1 live migration traffic (MTU 9000),
40,VLAN40-vSAN,EMEA-DC-ONPREM,active,vSAN Storage Network - vmk2 storage traffic (MTU 9000),
50,VLAN50-Infrastructure,EMEA-DC-ONPREM,active,Infrastructure VMs - vCenter NSX vROps vRLI,
60,VLAN60-Application,EMEA-DC-ONPREM,active,Application VMs - Web App DB Cache servers,
70,VLAN70-Backend,EMEA-DC-ONPREM,active,Backend/Data Network - Replication and cluster traffic (MTU 9000),
80,VLAN80-Storage,EMEA-DC-ONPREM,active,Storage Network - NFS and file server access (MTU 9000),
10,VLAN10-OOB-MGMT,APAC-DC-ONPREM,active,Out-of-Band Management Network - iDRAC/iLO/CIMC interfaces,
20,VLAN20-ESXi-MGMT,APAC-DC-ONPREM,active,ESXi Management Network - vmk0 interfaces,
30,VLAN30-vMotion,APAC-DC-ONPREM,active,vMotion Network - vmk1 live migration traffic (MTU 9000),
40,VLAN40-vSAN,APAC-DC-ONPREM,active,vSAN Storage Network - vmk2 storage traffic (MTU 9000),
50,VLAN50-Infrastructure,APAC-DC-ONPREM,active,Infrastructure VMs - vCenter NSX vROps vRLI,
60,VLAN60-Application,APAC-DC-ONPREM,active,Application VMs - Web App DB Cache servers,
70,VLAN70-Backend,APAC-DC-ONPREM,active,Backend/Data Network - Replication and cluster traffic (MTU 9000),
80,VLAN80-Storage,APAC-DC-ONPREM,active,Storage Network - NFS and file server access (MTU 9000),
10,VLAN10-OOB-MGMT,AMER-DC-ONPREM,active,Out-of-Band Management Network - iDRAC/iLO/CIMC interfaces,
20,VLAN20-ESXi-MGMT,AMER-DC-ONPREM,active,ESXi Management Network - vmk0 interfaces,
30,VLAN30-vMotion,AMER-DC-ONPREM,active,vMotion Network - vmk1 live migration traffic (MTU 9000),
40,VLAN40-vSAN,AMER-DC-ONPREM,active,vSAN Storage Network - vmk2 storage traffic (MTU 9000),
50,VLAN50-Infrastructure,AMER-DC-ONPREM,active,Infrastructure VMs - vCenter NSX vROps vRLI,
60,VLAN60-Application,AMER-DC-ONPREM,active,Application VMs - Web App DB Cache servers,
70,VLAN70-Backend,AMER-DC-ONPREM,active,Backend/Data Network - Replication and cluster traffic (MTU 9000),
80,VLAN80-Storage,AMER-DC-ONPREM,active,Storage Network - NFS and file server access (MTU 9000),
